product_id,language,name,description,long_description,created_at,updated_at
20,en,Keychains Edition 8,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,ar,ميداليات إصدار 8,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,en,Watches Core Kit 1,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,ar,ساعات مجموعة أساسية 1,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,en,Watches Pro Pack 2,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,ar,ساعات باقة متقدمة 2,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,en,Watches Edition 3,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,ar,ساعات إصدار 3,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,en,Watches Edition 4,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,ar,ساعات إصدار 4,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,en,Watches Edition 5,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,ar,ساعات إصدار 5,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,en,Watches Edition 6,"Quality watches items for party, gift & seasonal needs.","Quality watches items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,ar,ساعات إصدار 6,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ساعات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,en,Badges Core Kit 1,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
71,en,Water Bottles Edition 10,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,ar,بدجات مجموعة أساسية 1,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,en,Badges Pro Pack 2,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,ar,بدجات باقة متقدمة 2,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,en,Badges Edition 3,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,ar,بدجات إصدار 3,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,en,Badges Edition 4,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,ar,بدجات إصدار 4,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,en,Badges Edition 5,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
31,ar,بدجات إصدار 5,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,en,Badges Edition 6,"Quality badges items for party, gift & seasonal needs.","Quality badges items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
32,ar,بدجات إصدار 6,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بدجات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,en,Frames Core Kit 1,"Quality frames items for party, gift & seasonal needs.","Quality frames items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
33,ar,براويز مجموعة أساسية 1,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,en,Frames Pro Pack 2,"Quality frames items for party, gift & seasonal needs.","Quality frames items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
34,ar,براويز باقة متقدمة 2,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,en,Frames Edition 3,"Quality frames items for party, gift & seasonal needs.","Quality frames items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
35,ar,براويز إصدار 3,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات براويز بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,en,Balloons Core Kit 1,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
36,ar,بالونات مجموعة أساسية 1,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,en,Balloons Pro Pack 2,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
37,ar,بالونات باقة متقدمة 2,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,en,Balloons Edition 3,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
38,ar,بالونات إصدار 3,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,en,Balloons Edition 4,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
39,ar,بالونات إصدار 4,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,en,Balloons Edition 5,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
40,ar,بالونات إصدار 5,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,en,Balloons Edition 6,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
41,ar,بالونات إصدار 6,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,en,Balloons Edition 7,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
42,ar,بالونات إصدار 7,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,en,Balloons Edition 8,"Quality balloons items for party, gift & seasonal needs.","Quality balloons items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
43,ar,بالونات إصدار 8,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بالونات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,en,Posters Core Kit 1,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
44,ar,بوسترات مجموعة أساسية 1,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,en,Posters Pro Pack 2,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
45,ar,بوسترات باقة متقدمة 2,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,en,Posters Edition 3,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
46,ar,بوسترات إصدار 3,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,en,Posters Edition 4,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
47,ar,بوسترات إصدار 4,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,en,Posters Edition 5,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
48,ar,بوسترات إصدار 5,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,en,Posters Edition 6,"Quality posters items for party, gift & seasonal needs.","Quality posters items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
49,ar,بوسترات إصدار 6,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات بوسترات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,en,Ramadan Lanterns Core Kit 1,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
50,ar,فوانيس رمضان مجموعة أساسية 1,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,en,Ramadan Lanterns Pro Pack 2,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
51,ar,فوانيس رمضان باقة متقدمة 2,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,en,Ramadan Lanterns Edition 3,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
52,ar,فوانيس رمضان إصدار 3,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,en,Ramadan Lanterns Edition 4,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
53,ar,فوانيس رمضان إصدار 4,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,en,Ramadan Lanterns Edition 5,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
54,ar,فوانيس رمضان إصدار 5,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,en,Ramadan Lanterns Edition 6,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
55,ar,فوانيس رمضان إصدار 6,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,en,Ramadan Lanterns Edition 7,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
56,ar,فوانيس رمضان إصدار 7,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,en,Ramadan Lanterns Edition 8,"Quality ramadan lanterns items for party, gift & seasonal needs.","Quality ramadan lanterns items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
57,ar,فوانيس رمضان إصدار 8,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات فوانيس رمضان بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,en,Certificates Core Kit 1,"Quality certificates items for party, gift & seasonal needs.","Quality certificates items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
58,ar,شهادات مجموعة أساسية 1,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,en,Certificates Pro Pack 2,"Quality certificates items for party, gift & seasonal needs.","Quality certificates items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
59,ar,شهادات باقة متقدمة 2,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,en,Certificates Edition 3,"Quality certificates items for party, gift & seasonal needs.","Quality certificates items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
60,ar,شهادات إصدار 3,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,en,Certificates Edition 4,"Quality certificates items for party, gift & seasonal needs.","Quality certificates items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
61,ar,شهادات إصدار 4,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات شهادات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,en,Water Bottles Core Kit 1,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
62,ar,زمزميات مجموعة أساسية 1,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,en,Water Bottles Pro Pack 2,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
63,ar,زمزميات باقة متقدمة 2,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,en,Water Bottles Edition 3,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
64,ar,زمزميات إصدار 3,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,en,Water Bottles Edition 4,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
65,ar,زمزميات إصدار 4,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,en,Water Bottles Edition 5,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
66,ar,زمزميات إصدار 5,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,en,Water Bottles Edition 6,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
67,ar,زمزميات إصدار 6,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,en,Water Bottles Edition 7,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
68,ar,زمزميات إصدار 7,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,en,Water Bottles Edition 8,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
69,ar,زمزميات إصدار 8,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة.,منتجات زمزميات بجودة عالية ضمن فئة مستلزمات المدرسة. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
70,en,Water Bottles Edition 9,Quality water bottles items for school essentials needs.,Quality water bottles items for school essentials needs. Designed for daily use.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
